"ID","betweenness","info","count","community"
"Craver Cf",0.004,"Craver Cf",18,11
"Maudlin T",0.001,"Maudlin T",5,3
"Fetzer Jh",0.006,"Fetzer Jh",5,7
"Glennan S",0.007,"Glennan S",20,11
"Cartwright Rl",0.0,"Cartwright Rl",1,49
"Sharp Dh",0.002,"Sharp Dh",4,27
"Romanos Gd",0.0,"Romanos Gd",2,7
"Cohen L",0.004,"Cohen L",2,27
"Keuth H",0.002,"Keuth H",2,4
"Brandon R",0.001,"Brandon R",6,26
"Levinstein Ba",0.0,"Levinstein Ba",1,6
"Zaret D",0.0,"Zaret D",1,14
"Mura A",0.0,"Mura A",1,130
"Castagnino M",0.0,"Castagnino M",2,14
"Ackermann Rj",0.0,"Ackermann Rj",1,98
"Barker Sf",0.0,"Barker Sf",1,131
"Sargent P",0.0,"Sargent P",1,132
"Fitzgerald P",0.0,"Fitzgerald P",1,33
"Solomon M",0.005,"Solomon M",10,9
"Gemes K",0.0,"Gemes K",2,1
"Demopoulos W",0.002,"Demopoulos W",11,16
"Krikorian Yh",0.0,"Krikorian Yh",2,16
"Newman M",0.0,"Newman M",1,16
"Hausman D",0.0,"Hausman D",2,1
"Quay Pm",0.0,"Quay Pm",2,3
"Darlington J",0.0,"Darlington J",1,133
"Pitowsky I",0.0,"Pitowsky I",1,91
"Schaffnekf",0.0,"Schaffnekf",1,4
"Caplan Al",0.0,"Caplan Al",4,8
"Schlegel R",0.0,"Schlegel R",4,4
"Ross D",0.0,"Ross D",1,16
"Knuuttila T",0.0,"Knuuttila T",2,9
"Easwaran K",0.0,"Easwaran K",1,6
"Owens J",0.0,"Owens J",4,0
"Guala F",0.0,"Guala F",1,14
"Eberle R",0.01,"Eberle R",16,4
"Miyake T",0.0,"Miyake T",1,3
"Kim J",0.001,"Kim J",11,4
"Slowik E",0.0,"Slowik E",1,3
"Longino He",0.0,"Longino He",3,9
"Plutynski A",0.0,"Plutynski A",2,9
"Mayo Dg",0.021,"Mayo Dg",28,6
"Ackermann R",0.003,"Ackermann R",19,4
"Sismondo S",0.0,"Sismondo S",1,8
"Bell J",0.0,"Bell J",1,135
"Gelfert A",0.0,"Gelfert A",1,3
"Matthen M",0.001,"Matthen M",6,26
